geo_cod,geo_dsg,geo_nivel,periodo,valor_eur_m2
1111605,Paredes de Coura,5,1.º Trimestre de 2025,770
1111605,Paredes de Coura,5,2.º Trimestre de 2025,752
1111605,Paredes de Coura,5,3.º Trimestre de 2025,777
1111605,Paredes de Coura,5,4.º Trimestre de 2025,842
1111605,Paredes de Coura,5,1.º Trimestre de 2026,777
1111606,Ponte da Barca,5,4.º Trimestre de 2019,565
1111606,Ponte da Barca,5,1.º Trimestre de 2020,563
1111606,Ponte da Barca,5,2.º Trimestre de 2020,613
1111606,Ponte da Barca,5,3.º Trimestre de 2020,642
1111606,Ponte da Barca,5,4.º Trimestre de 2020,674
1111606,Ponte da Barca,5,1.º Trimestre de 2021,654
1111606,Ponte da Barca,5,2.º Trimestre de 2021,619
1111606,Ponte da Barca,5,3.º Trimestre de 2021,625
1111606,Ponte da Barca,5,4.º Trimestre de 2021,623
1111606,Ponte da Barca,5,1.º Trimestre de 2022,714
1111606,Ponte da Barca,5,2.º Trimestre de 2022,772
1111606,Ponte da Barca,5,3.º Trimestre de 2022,833
1111606,Ponte da Barca,5,4.º Trimestre de 2022,915
1111606,Ponte da Barca,5,1.º Trimestre de 2023,896
1111606,Ponte da Barca,5,2.º Trimestre de 2023,868
1111606,Ponte da Barca,5,3.º Trimestre de 2023,792
1111606,Ponte da Barca,5,4.º Trimestre de 2023,759
1111606,Ponte da Barca,5,1.º Trimestre de 2024,796
1111606,Ponte da Barca,5,2.º Trimestre de 2024,865
1111606,Ponte da Barca,5,3.º Trimestre de 2024,917
1111606,Ponte da Barca,5,4.º Trimestre de 2024,952
1111606,Ponte da Barca,5,1.º Trimestre de 2025,980
1111606,Ponte da Barca,5,2.º Trimestre de 2025,1019
1111606,Ponte da Barca,5,3.º Trimestre de 2025,1123
1111606,Ponte da Barca,5,4.º Trimestre de 2025,1173
1111606,Ponte da Barca,5,1.º Trimestre de 2026,1239
1111609,Viana do Castelo,5,4.º Trimestre de 2019,940
1111609,Viana do Castelo,5,1.º Trimestre de 2020,952
1111609,Viana do Castelo,5,2.º Trimestre de 2020,987
1111609,Viana do Castelo,5,3.º Trimestre de 2020,990
1111609,Viana do Castelo,5,4.º Trimestre de 2020,1001
